l,Nl
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.009992935212875437e-08
3.000000000000000000e+00,4.009385278621700804e-08
4.000000000000000000e+00,3.713095637758654481e-08
5.000000000000000000e+00,3.580827053064021312e-08
6.000000000000000000e+00,3.509357653808916130e-08
7.000000000000000000e+00,3.466082175531745818e-08
8.000000000000000000e+00,3.437788463168824848e-08
9.000000000000000000e+00,3.418226849560238611e-08
1.000000000000000000e+01,3.404109265941307464e-08
1.100000000000000000e+01,3.393566263093692077e-08
1.200000000000000000e+01,3.385469711178136353e-08
1.300000000000000000e+01,3.379105296494425272e-08
1.400000000000000000e+01,3.374002281697005730e-08
1.500000000000000000e+01,3.369839923244486574e-08
1.600000000000000000e+01,3.366393524840099991e-08
1.700000000000000000e+01,3.363501959568069715e-08
1.800000000000000000e+01,3.361047275449483544e-08
1.900000000000000000e+01,3.358941528294811396e-08
2.000000000000000000e+01,3.357118056282338445e-08
2.100000000000000000e+01,3.355525585794679168e-08
2.200000000000000000e+01,3.354124178619997051e-08
2.300000000000000000e+01,3.352882371049153575e-08
2.400000000000000000e+01,3.351775124976344658e-08
2.500000000000000000e+01,3.350782332166302274e-08
2.600000000000000000e+01,3.349887706565521605e-08
2.700000000000000000e+01,3.349077953941559239e-08
2.800000000000000000e+01,3.348342149406904534e-08
2.900000000000000000e+01,3.347671267446146894e-08
3.000000000000000000e+01,3.347057800143280939e-08
3.100000000000000000e+01,3.346495457166542870e-08
3.200000000000000000e+01,3.345978942543737106e-08
3.300000000000000000e+01,3.345503772272794331e-08
3.400000000000000000e+01,3.345066142423599572e-08
3.500000000000000000e+01,3.344662806010324989e-08
3.600000000000000000e+01,3.344290977600467309e-08
3.700000000000000000e+01,3.343948251883086836e-08
3.800000000000000000e+01,3.343632543013009047e-08
3.900000000000000000e+01,3.343342041970706260e-08
4.000000000000000000e+01,3.343075174126872101e-08
4.100000000000000000e+01,3.342830561658114451e-08
4.200000000000000000e+01,3.342606992209243091e-08
4.300000000000000000e+01,3.342403393273179287e-08
4.400000000000000000e+01,3.342218810760458422e-08
4.500000000000000000e+01,3.342052391159952468e-08
4.600000000000000000e+01,3.341903366797767673e-08
4.700000000000000000e+01,3.341771043642323286e-08
4.800000000000000000e+01,3.341654790739858848e-08
4.900000000000000000e+01,3.341554032015662165e-08
5.000000000000000000e+01,3.341468239358321897e-08
5.100000000000000000e+01,3.341396925347312452e-08
5.200000000000000000e+01,3.341339636849200568e-08
5.300000000000000000e+01,3.341295949572008957e-08
5.400000000000000000e+01,3.341265463707229141e-08
5.500000000000000000e+01,3.341247800056296773e-08
5.600000000000000000e+01,3.341242596493452855e-08
5.700000000000000000e+01,3.341249505545140627e-08
5.800000000000000000e+01,3.341268192418032134e-08
5.900000000000000000e+01,3.341298333125810892e-08
6.000000000000000000e+01,3.341339612786675368e-08
6.100000000000000000e+01,3.341391724756872582e-08
6.200000000000000000e+01,3.341454369775624966e-08
6.300000000000000000e+01,3.341527254770279219e-08
6.400000000000000000e+01,3.341610091632275534e-08
6.500000000000000000e+01,3.341702596189739654e-08
6.600000000000000000e+01,3.341804487135522966e-08
