l,TT
2.000000000000000000e+00,9.773727467839122482e+02
3.000000000000000000e+00,9.254305502824040559e+02
4.000000000000000000e+00,8.749204605022941905e+02
5.000000000000000000e+00,8.366103790339541320e+02
6.000000000000000000e+00,8.098405287638964865e+02
7.000000000000000000e+00,7.922953267038609511e+02
8.000000000000000000e+00,7.813226853532631822e+02
9.000000000000000000e+00,7.756030627531655455e+02
1.000000000000000000e+01,7.737870485500069435e+02
1.100000000000000000e+01,7.745774399003761346e+02
1.200000000000000000e+01,7.785852107844151533e+02
1.300000000000000000e+01,7.838976840948593008e+02
1.400000000000000000e+01,7.904129651823982385e+02
1.500000000000000000e+01,7.971096081499299544e+02
1.600000000000000000e+01,8.056414068038471896e+02
1.700000000000000000e+01,8.158455131120468877e+02
1.800000000000000000e+01,8.266038964172014403e+02
1.900000000000000000e+01,8.386901660714868285e+02
2.000000000000000000e+01,8.505035526987609273e+02
2.100000000000000000e+01,8.627445820098818103e+02
2.200000000000000000e+01,8.754399160958741959e+02
2.300000000000000000e+01,8.881879028191017369e+02
2.400000000000000000e+01,9.012955597752378480e+02
2.500000000000000000e+01,9.149084276589040883e+02
2.600000000000000000e+01,9.285491436883855840e+02
2.700000000000000000e+01,9.426192543075720778e+02
2.800000000000000000e+01,9.569400502460338203e+02
2.900000000000000000e+01,9.714385045202872107e+02
3.000000000000000000e+01,9.863176107640280179e+02
3.100000000000000000e+01,1.000973671857783188e+03
3.200000000000000000e+01,1.016212172720292301e+03
3.300000000000000000e+01,1.031504532398736728e+03
3.400000000000000000e+01,1.046829445718193483e+03
3.500000000000000000e+01,1.062765427984928465e+03
3.600000000000000000e+01,1.078407515657062731e+03
3.700000000000000000e+01,1.094272770187036258e+03
3.800000000000000000e+01,1.110461796961717027e+03
3.900000000000000000e+01,1.126884406521212668e+03
4.000000000000000000e+01,1.143471423677705616e+03
4.100000000000000000e+01,1.160145695905396906e+03
4.200000000000000000e+01,1.176909583662793921e+03
4.300000000000000000e+01,1.193772326623174649e+03
4.400000000000000000e+01,1.210780306924324350e+03
4.500000000000000000e+01,1.227994764020463435e+03
4.600000000000000000e+01,1.245379828289568195e+03
4.700000000000000000e+01,1.262919751424001788e+03
4.800000000000000000e+01,1.280590816013165522e+03
4.900000000000000000e+01,1.298384161505584416e+03
5.000000000000000000e+01,1.316357782534605803e+03
5.100000000000000000e+01,1.334572348883473296e+03
5.200000000000000000e+01,1.352972949138765443e+03
5.300000000000000000e+01,1.371485061726608137e+03
5.400000000000000000e+01,1.390086163040604788e+03
5.500000000000000000e+01,1.408768585564069554e+03
5.600000000000000000e+01,1.427641952358255821e+03
5.700000000000000000e+01,1.446809636463285642e+03
5.800000000000000000e+01,1.466232309006730020e+03
5.900000000000000000e+01,1.485826069942462027e+03
6.000000000000000000e+01,1.505573873205373047e+03
6.100000000000000000e+01,1.525485314151359944e+03
6.200000000000000000e+01,1.545565132270781305e+03
6.300000000000000000e+01,1.565829851621462240e+03
6.400000000000000000e+01,1.586281138084757458e+03
6.500000000000000000e+01,1.606942941066820367e+03
6.600000000000000000e+01,1.627851353992898339e+03
6.700000000000000000e+01,1.648987054127779402e+03
6.800000000000000000e+01,1.670313149313049507e+03
6.900000000000000000e+01,1.691785317431840440e+03
7.000000000000000000e+01,1.713374091469283030e+03
7.100000000000000000e+01,1.735057717526133047e+03
7.200000000000000000e+01,1.756949295832960161e+03
7.300000000000000000e+01,1.779162211464544271e+03
7.400000000000000000e+01,1.801705851150615899e+03
7.500000000000000000e+01,1.824582171896085811e+03
7.600000000000000000e+01,1.847746991830007119e+03
7.700000000000000000e+01,1.871075574460518965e+03
7.800000000000000000e+01,1.894553039956493876e+03
7.900000000000000000e+01,1.918223934275312104e+03
8.000000000000000000e+01,1.942110517419690950e+03
8.100000000000000000e+01,1.966237351756433327e+03
8.200000000000000000e+01,1.990615926543622209e+03
8.300000000000000000e+01,2.015222891896774627e+03
8.400000000000000000e+01,2.040057182565340554e+03
8.500000000000000000e+01,2.065110304660420752e+03
8.600000000000000000e+01,2.090378139017914691e+03
8.700000000000000000e+01,2.115829495876578676e+03
8.800000000000000000e+01,2.141444988806357287e+03
8.900000000000000000e+01,2.167234945000237531e+03
9.000000000000000000e+01,2.193202263644027880e+03
9.100000000000000000e+01,2.219356878477314240e+03
9.200000000000000000e+01,2.245699718435936575e+03
9.300000000000000000e+01,2.272246175575035068e+03
9.400000000000000000e+01,2.298989357670939171e+03
9.500000000000000000e+01,2.325944658411882756e+03
9.600000000000000000e+01,2.353105187377101174e+03
9.700000000000000000e+01,2.380471483509240898e+03
9.800000000000000000e+01,2.408051515176106932e+03
9.900000000000000000e+01,2.435823538471128359e+03
1.000000000000000000e+02,2.463802952407008434e+03
